timestep,episode,reward,mean_reward
68556,431,21.0,86.31
68737,432,63.0,85.68
69030,433,168.0,86.31
69090,434,0.0,85.89
69119,435,21.0,85.68
69298,436,126.0,86.31
69337,437,21.0,86.31
69480,438,105.0,87.15
69648,439,84.0,86.94
69738,440,21.0,86.52
69887,441,168.0,87.15
70062,442,105.0,86.94
70177,443,105.0,87.15
70350,444,105.0,87.15
70483,445,21.0,86.31
70616,446,63.0,85.26
70632,447,0.0,84.63
70810,448,126.0,85.89
70991,449,84.0,85.47
71220,450,147.0,86.31
71345,451,21.0,85.89
71542,452,63.0,85.47
71677,453,63.0,85.05
71735,454,63.0,84.84
71817,455,42.0,84.21
71966,456,126.0,84.42
71981,457,0.0,83.58
72126,458,147.0,83.58
72387,459,105.0,84.42
72552,460,126.0,85.47
72701,461,42.0,84.63
72864,462,126.0,84.42
73021,463,105.0,84.63
73202,464,63.0,84.84
73361,465,63.0,84.0
73539,466,84.0,84.63
73672,467,63.0,84.42
73845,468,84.0,84.0
74018,469,147.0,84.42
74162,470,105.0,84.21
74329,471,126.0,84.42
74404,472,21.0,83.37
74569,473,147.0,84.63
74700,474,42.0,83.58
74756,475,21.0,83.37
74785,476,21.0,83.16
74878,477,84.0,83.16
75129,478,210.0,84.21
75262,479,63.0,83.79
75427,480,42.0,83.16
75672,481,147.0,83.37
75815,482,84.0,83.58
76044,483,105.0,83.58
76225,484,21.0,82.74
76406,485,84.0,82.32
76618,486,126.0,83.16
76751,487,42.0,82.53
76884,488,21.0,81.9
77129,489,189.0,83.16
77221,490,63.0,82.74
77271,491,42.0,82.11
77396,492,42.0,81.9
77436,493,21.0,81.06
77579,494,63.0,80.64
77744,495,84.0,80.64
77869,496,42.0,80.22
78034,497,105.0,80.43
78163,498,105.0,79.8
78288,499,42.0,79.59
78437,500,42.0,79.17
78610,501,84.0,79.8
78737,502,63.0,78.75
78902,503,168.0,80.22
79075,504,105.0,80.64
79208,505,0.0,80.22
79336,506,84.0,79.38
79533,507,168.0,80.85
79666,508,84.0,81.48
79791,509,0.0,80.85
79920,510,63.0,80.22
80056,511,63.0,80.64
80162,512,84.0,81.06
80359,513,126.0,81.48
80524,514,84.0,81.06
80644,515,63.0,81.06
80673,516,0.0,80.43
80732,517,21.0,79.8
80827,518,105.0,79.59
81019,519,210.0,80.85
81075,520,63.0,80.43
81135,521,42.0,80.43
81250,522,63.0,80.01
81408,523,147.0,81.06
81443,524,0.0,79.38
81576,525,42.0,79.59
81591,526,0.0,78.54
81650,527,63.0,78.96
81765,528,63.0,78.33
81898,529,63.0,77.07
82026,530,84.0,76.44
82150,531,147.0,77.7
82201,532,21.0,77.28
82382,533,42.0,76.02
82507,534,126.0,77.28
82654,535,84.0,77.91
82795,536,84.0,77.49
82952,537,147.0,78.75
