timestep,episode,reward,length,mean_reward,mean_length
41487,248,4.0,197,3.93,152.7
41647,249,5.0,160,3.92,152.55
41788,250,3.0,141,3.92,152.71
41953,251,2.0,165,3.88,151.99
42462,252,5.0,509,3.92,156.85
42641,253,4.0,179,3.89,156.83
42806,254,4.0,165,3.89,156.51
43019,255,5.0,213,3.88,157.15
43208,256,5.0,189,3.86,157.11
43339,257,2.0,131,3.82,156.32
43504,258,6.0,165,3.85,156.08
43520,259,0.0,16,3.82,154.59
43746,260,4.0,226,3.84,155.52
44091,261,6.0,345,3.87,156.71
44197,262,3.0,106,3.88,155.88
44426,263,4.0,229,3.88,156.68
44575,264,4.0,149,3.88,155.96
44956,265,6.0,381,3.87,158.16
45078,266,3.0,122,3.9,158.83
45259,267,1.0,181,3.89,159.65
45480,268,6.0,221,3.9,159.97
45792,269,7.0,312,3.88,160.99
45851,270,2.0,59,3.88,159.85
46000,271,2.0,149,3.85,158.49
46181,272,3.0,181,3.86,159.75
46271,273,3.0,90,3.84,159.31
46354,274,1.0,83,3.79,158.49
46663,275,4.0,309,3.76,160.25
46844,276,5.0,181,3.76,160.65
46989,277,5.0,145,3.72,160.44
47138,278,3.0,149,3.7,159.4
47287,279,1.0,149,3.69,159.56
47436,280,1.0,149,3.66,159.4
47524,281,2.0,88,3.59,158.2
47617,282,1.0,93,3.59,158.1
47659,283,0.0,42,3.57,157.13
47792,284,5.0,133,3.58,156.97
48078,285,10.0,286,3.63,158.36
48251,286,4.0,173,3.62,158.28
48416,287,4.0,165,3.66,159.78
48565,288,2.0,149,3.67,160.98
48694,289,2.0,129,3.65,160.81
48859,290,5.0,165,3.65,160.49
48874,291,1.0,15,3.6,158.59
49095,292,4.0,221,3.6,159.15
49151,293,2.0,56,3.57,158.09
49322,294,7.0,171,3.62,158.55
49369,295,0.0,47,3.58,157.37
49580,296,1.0,211,3.52,157.09
49730,297,7.0,150,3.54,157.11
49895,298,3.0,165,3.57,158.36
50028,299,3.0,133,3.59,158.76
50169,300,7.0,141,3.64,159.59
50330,301,5.0,161,3.61,158.9
50487,302,5.0,157,3.65,158.98
50748,303,9.0,261,3.69,159.78
50905,304,1.0,157,3.64,159.6
